categoryName,trending_date,country,view_count
Autos & Vehicles,2020-08-23 00:00:00+00:00,Mexico,3594202
Autos & Vehicles,2020-08-23 00:00:00+00:00,Russia,1731003
Autos & Vehicles,2020-08-23 00:00:00+00:00,South Korea,2578943
Autos & Vehicles,2020-08-23 00:00:00+00:00,United Kingdom,2050105
Autos & Vehicles,2020-08-23 00:00:00+00:00,United States,5978218
Autos & Vehicles,2020-08-24 00:00:00+00:00,Brazil,791580
Autos & Vehicles,2020-08-24 00:00:00+00:00,Canada,2188452
Autos & Vehicles,2020-08-24 00:00:00+00:00,France,881425
Autos & Vehicles,2020-08-24 00:00:00+00:00,Germany,6391432
Autos & Vehicles,2020-08-24 00:00:00+00:00,Japan,2545547
Autos & Vehicles,2020-08-24 00:00:00+00:00,Mexico,3684917
Autos & Vehicles,2020-08-24 00:00:00+00:00,Russia,2409148
Autos & Vehicles,2020-08-24 00:00:00+00:00,South Korea,2076693
Autos & Vehicles,2020-08-24 00:00:00+00:00,United Kingdom,4516010
Autos & Vehicles,2020-08-24 00:00:00+00:00,United States,3191913
Autos & Vehicles,2020-08-25 00:00:00+00:00,Brazil,807440
Autos & Vehicles,2020-08-25 00:00:00+00:00,Canada,2326515
Autos & Vehicles,2020-08-25 00:00:00+00:00,France,1375247
Autos & Vehicles,2020-08-25 00:00:00+00:00,Germany,5360299
Autos & Vehicles,2020-08-25 00:00:00+00:00,Japan,3075137
Autos & Vehicles,2020-08-25 00:00:00+00:00,Mexico,3750167
Autos & Vehicles,2020-08-25 00:00:00+00:00,Russia,3891865
Autos & Vehicles,2020-08-25 00:00:00+00:00,South Korea,1482738
Autos & Vehicles,2020-08-25 00:00:00+00:00,United Kingdom,4218946
Autos & Vehicles,2020-08-25 00:00:00+00:00,United States,2604160
Autos & Vehicles,2020-08-26 00:00:00+00:00,Brazil,199268
Autos & Vehicles,2020-08-26 00:00:00+00:00,Canada,1424953
Autos & Vehicles,2020-08-26 00:00:00+00:00,France,1274776
Autos & Vehicles,2020-08-26 00:00:00+00:00,Germany,4349905
Autos & Vehicles,2020-08-26 00:00:00+00:00,Japan,2534141
Autos & Vehicles,2020-08-26 00:00:00+00:00,Mexico,4323025
Autos & Vehicles,2020-08-26 00:00:00+00:00,Russia,7926895
Autos & Vehicles,2020-08-26 00:00:00+00:00,South Korea,1009554
Autos & Vehicles,2020-08-26 00:00:00+00:00,United Kingdom,2918239
Autos & Vehicles,2020-08-26 00:00:00+00:00,United States,3348307
Autos & Vehicles,2020-08-27 00:00:00+00:00,Brazil,220937
Autos & Vehicles,2020-08-27 00:00:00+00:00,Canada,2036674
Autos & Vehicles,2020-08-27 00:00:00+00:00,France,1248080
Autos & Vehicles,2020-08-27 00:00:00+00:00,Germany,3567235
Autos & Vehicles,2020-08-27 00:00:00+00:00,Japan,2450576
Autos & Vehicles,2020-08-27 00:00:00+00:00,Mexico,3167798
Autos & Vehicles,2020-08-27 00:00:00+00:00,Russia,5876369
Autos & Vehicles,2020-08-27 00:00:00+00:00,South Korea,1035112
Autos & Vehicles,2020-08-27 00:00:00+00:00,United Kingdom,2827095
Autos & Vehicles,2020-08-27 00:00:00+00:00,United States,2346010
Autos & Vehicles,2020-08-28 00:00:00+00:00,Brazil,243634
Autos & Vehicles,2020-08-28 00:00:00+00:00,Canada,2246381
Autos & Vehicles,2020-08-28 00:00:00+00:00,France,1216280
Autos & Vehicles,2020-08-28 00:00:00+00:00,Germany,3493704
Autos & Vehicles,2020-08-28 00:00:00+00:00,Japan,2482985
Autos & Vehicles,2020-08-28 00:00:00+00:00,Mexico,3361820
Autos & Vehicles,2020-08-28 00:00:00+00:00,Russia,7546522
Autos & Vehicles,2020-08-28 00:00:00+00:00,South Korea,1051845
Autos & Vehicles,2020-08-28 00:00:00+00:00,United Kingdom,3233202
Autos & Vehicles,2020-08-28 00:00:00+00:00,United States,2561970
Autos & Vehicles,2020-08-29 00:00:00+00:00,Brazil,259239
Autos & Vehicles,2020-08-29 00:00:00+00:00,Canada,466902
Autos & Vehicles,2020-08-29 00:00:00+00:00,France,1751475
Autos & Vehicles,2020-08-29 00:00:00+00:00,Germany,2852232
Autos & Vehicles,2020-08-29 00:00:00+00:00,India,117582
Autos & Vehicles,2020-08-29 00:00:00+00:00,Japan,1283877
Autos & Vehicles,2020-08-29 00:00:00+00:00,Mexico,3464993
Autos & Vehicles,2020-08-29 00:00:00+00:00,Russia,4274045
Autos & Vehicles,2020-08-29 00:00:00+00:00,United Kingdom,3350087
Autos & Vehicles,2020-08-29 00:00:00+00:00,United States,466902
Autos & Vehicles,2020-08-30 00:00:00+00:00,Brazil,409137
Autos & Vehicles,2020-08-30 00:00:00+00:00,Canada,480976
Autos & Vehicles,2020-08-30 00:00:00+00:00,France,1593330
Autos & Vehicles,2020-08-30 00:00:00+00:00,Germany,3979676
Autos & Vehicles,2020-08-30 00:00:00+00:00,India,204448
Autos & Vehicles,2020-08-30 00:00:00+00:00,Japan,1203074
Autos & Vehicles,2020-08-30 00:00:00+00:00,Mexico,3548880
Autos & Vehicles,2020-08-30 00:00:00+00:00,Russia,4255505
Autos & Vehicles,2020-08-30 00:00:00+00:00,United Kingdom,5417398
Autos & Vehicles,2020-08-30 00:00:00+00:00,United States,480976
Autos & Vehicles,2020-08-31 00:00:00+00:00,Brazil,158712
Autos & Vehicles,2020-08-31 00:00:00+00:00,Canada,152505
Autos & Vehicles,2020-08-31 00:00:00+00:00,France,1761489
Autos & Vehicles,2020-08-31 00:00:00+00:00,Germany,3792693
Autos & Vehicles,2020-08-31 00:00:00+00:00,India,259229
Autos & Vehicles,2020-08-31 00:00:00+00:00,Japan,1579278
Autos & Vehicles,2020-08-31 00:00:00+00:00,Mexico,3626172
Autos & Vehicles,2020-08-31 00:00:00+00:00,Russia,3877463
Autos & Vehicles,2020-08-31 00:00:00+00:00,South Korea,40323
Autos & Vehicles,2020-08-31 00:00:00+00:00,United Kingdom,5865213
Autos & Vehicles,2020-08-31 00:00:00+00:00,United States,491746
Autos & Vehicles,2020-09-01 00:00:00+00:00,Brazil,167177
Autos & Vehicles,2020-09-01 00:00:00+00:00,Canada,1230162
Autos & Vehicles,2020-09-01 00:00:00+00:00,France,2764408
Autos & Vehicles,2020-09-01 00:00:00+00:00,Germany,3335195
Autos & Vehicles,2020-09-01 00:00:00+00:00,India,299607
Autos & Vehicles,2020-09-01 00:00:00+00:00,Japan,1356017
Autos & Vehicles,2020-09-01 00:00:00+00:00,Mexico,1075291
Autos & Vehicles,2020-09-01 00:00:00+00:00,Russia,3797300
Autos & Vehicles,2020-09-01 00:00:00+00:00,South Korea,439705
Autos & Vehicles,2020-09-01 00:00:00+00:00,United Kingdom,3081004
Autos & Vehicles,2020-09-01 00:00:00+00:00,United States,2051540
Autos & Vehicles,2020-09-02 00:00:00+00:00,Brazil,3470850
Autos & Vehicles,2020-09-02 00:00:00+00:00,Canada,4791181
Autos & Vehicles,2020-09-02 00:00:00+00:00,France,6663510
Autos & Vehicles,2020-09-02 00:00:00+00:00,Germany,6699453
Autos & Vehicles,2020-09-02 00:00:00+00:00,India,331400
Autos & Vehicles,2020-09-02 00:00:00+00:00,Japan,5220350
Autos & Vehicles,2020-09-02 00:00:00+00:00,Mexico,4897044
Autos & Vehicles,2020-09-02 00:00:00+00:00,Russia,5275057
Autos & Vehicles,2020-09-02 00:00:00+00:00,South Korea,593776
Autos & Vehicles,2020-09-02 00:00:00+00:00,United Kingdom,8113904
Autos & Vehicles,2020-09-02 00:00:00+00:00,United States,6116181
Autos & Vehicles,2020-09-03 00:00:00+00:00,Brazil,5555906
Autos & Vehicles,2020-09-03 00:00:00+00:00,Canada,2809606
Autos & Vehicles,2020-09-03 00:00:00+00:00,France,9190677
Autos & Vehicles,2020-09-03 00:00:00+00:00,Germany,8071863
Autos & Vehicles,2020-09-03 00:00:00+00:00,India,353380
Autos & Vehicles,2020-09-03 00:00:00+00:00,Japan,7382828
Autos & Vehicles,2020-09-03 00:00:00+00:00,Mexico,7342894
Autos & Vehicles,2020-09-03 00:00:00+00:00,Russia,7366968
Autos & Vehicles,2020-09-03 00:00:00+00:00,South Korea,1475032
Autos & Vehicles,2020-09-03 00:00:00+00:00,United Kingdom,5732752
Autos & Vehicles,2020-09-03 00:00:00+00:00,United States,4491749
Autos & Vehicles,2020-09-04 00:00:00+00:00,Brazil,7611025
Autos & Vehicles,2020-09-04 00:00:00+00:00,Canada,11228722
Autos & Vehicles,2020-09-04 00:00:00+00:00,France,9541778
Autos & Vehicles,2020-09-04 00:00:00+00:00,Germany,11493680
Autos & Vehicles,2020-09-04 00:00:00+00:00,India,199008
Autos & Vehicles,2020-09-04 00:00:00+00:00,Japan,8985976
Autos & Vehicles,2020-09-04 00:00:00+00:00,Mexico,9399782
Autos & Vehicles,2020-09-04 00:00:00+00:00,Russia,6721999
Autos & Vehicles,2020-09-04 00:00:00+00:00,South Korea,1746471
Autos & Vehicles,2020-09-04 00:00:00+00:00,United Kingdom,11732955
Autos & Vehicles,2020-09-04 00:00:00+00:00,United States,13463678
Autos & Vehicles,2020-09-05 00:00:00+00:00,Brazil,9528290
Autos & Vehicles,2020-09-05 00:00:00+00:00,Canada,14375632
Autos & Vehicles,2020-09-05 00:00:00+00:00,France,9795006
Autos & Vehicles,2020-09-05 00:00:00+00:00,Germany,14705739
Autos & Vehicles,2020-09-05 00:00:00+00:00,India,238364
Autos & Vehicles,2020-09-05 00:00:00+00:00,Japan,11233277
Autos & Vehicles,2020-09-05 00:00:00+00:00,Mexico,11960056
Autos & Vehicles,2020-09-05 00:00:00+00:00,Russia,6459604
Autos & Vehicles,2020-09-05 00:00:00+00:00,South Korea,1953934
Autos & Vehicles,2020-09-05 00:00:00+00:00,United Kingdom,13944759
Autos & Vehicles,2020-09-05 00:00:00+00:00,United States,15266755
Autos & Vehicles,2020-09-06 00:00:00+00:00,Brazil,11264708
Autos & Vehicles,2020-09-06 00:00:00+00:00,Canada,17393287
Autos & Vehicles,2020-09-06 00:00:00+00:00,France,11606361
Autos & Vehicles,2020-09-06 00:00:00+00:00,Germany,16872001
Autos & Vehicles,2020-09-06 00:00:00+00:00,India,421899
Autos & Vehicles,2020-09-06 00:00:00+00:00,Japan,13050463
Autos & Vehicles,2020-09-06 00:00:00+00:00,Mexico,11817416
Autos & Vehicles,2020-09-06 00:00:00+00:00,Russia,6061922
Autos & Vehicles,2020-09-06 00:00:00+00:00,South Korea,750861
Autos & Vehicles,2020-09-06 00:00:00+00:00,United Kingdom,16548776
Autos & Vehicles,2020-09-06 00:00:00+00:00,United States,17393287
Autos & Vehicles,2020-09-07 00:00:00+00:00,Brazil,12789010
Autos & Vehicles,2020-09-07 00:00:00+00:00,Canada,17912653
Autos & Vehicles,2020-09-07 00:00:00+00:00,France,363821
Autos & Vehicles,2020-09-07 00:00:00+00:00,Germany,4073616
Autos & Vehicles,2020-09-07 00:00:00+00:00,India,561922
Autos & Vehicles,2020-09-07 00:00:00+00:00,Japan,14007463
Autos & Vehicles,2020-09-07 00:00:00+00:00,Mexico,13265572
Autos & Vehicles,2020-09-07 00:00:00+00:00,Russia,2268777
Autos & Vehicles,2020-09-07 00:00:00+00:00,South Korea,767775
Autos & Vehicles,2020-09-07 00:00:00+00:00,United Kingdom,18039939
Autos & Vehicles,2020-09-07 00:00:00+00:00,United States,17912653
Autos & Vehicles,2020-09-08 00:00:00+00:00,Brazil,375927
Autos & Vehicles,2020-09-08 00:00:00+00:00,Canada,4636777
Autos & Vehicles,2020-09-08 00:00:00+00:00,France,342050
Autos & Vehicles,2020-09-08 00:00:00+00:00,Germany,1780914
Autos & Vehicles,2020-09-08 00:00:00+00:00,India,365261
Autos & Vehicles,2020-09-08 00:00:00+00:00,Japan,15491135
Autos & Vehicles,2020-09-08 00:00:00+00:00,Mexico,14577647
Autos & Vehicles,2020-09-08 00:00:00+00:00,Russia,5865030
Autos & Vehicles,2020-09-08 00:00:00+00:00,United Kingdom,4931919
Autos & Vehicles,2020-09-08 00:00:00+00:00,United States,18516278
Autos & Vehicles,2020-09-09 00:00:00+00:00,Brazil,673390
Autos & Vehicles,2020-09-09 00:00:00+00:00,Canada,1015568
Autos & Vehicles,2020-09-09 00:00:00+00:00,France,521143
Autos & Vehicles,2020-09-09 00:00:00+00:00,Germany,1360898
Autos & Vehicles,2020-09-09 00:00:00+00:00,India,435402
Autos & Vehicles,2020-09-09 00:00:00+00:00,Japan,16700551
Autos & Vehicles,2020-09-09 00:00:00+00:00,Mexico,714092
Autos & Vehicles,2020-09-09 00:00:00+00:00,Russia,8354770
Autos & Vehicles,2020-09-09 00:00:00+00:00,United Kingdom,2548607
Autos & Vehicles,2020-09-09 00:00:00+00:00,United States,5320318
Autos & Vehicles,2020-09-10 00:00:00+00:00,Brazil,814186
Autos & Vehicles,2020-09-10 00:00:00+00:00,Canada,1154768
Autos & Vehicles,2020-09-10 00:00:00+00:00,France,620912
Autos & Vehicles,2020-09-10 00:00:00+00:00,Germany,1824964
Autos & Vehicles,2020-09-10 00:00:00+00:00,India,478994
Autos & Vehicles,2020-09-10 00:00:00+00:00,Japan,17261823
Autos & Vehicles,2020-09-10 00:00:00+00:00,Mexico,723708
Autos & Vehicles,2020-09-10 00:00:00+00:00,Russia,4854769
Autos & Vehicles,2020-09-10 00:00:00+00:00,South Korea,407966
Autos & Vehicles,2020-09-10 00:00:00+00:00,United Kingdom,1243134
Autos & Vehicles,2020-09-10 00:00:00+00:00,United States,1430902
Autos & Vehicles,2020-09-11 00:00:00+00:00,Brazil,638378
Autos & Vehicles,2020-09-11 00:00:00+00:00,Canada,1538704
Autos & Vehicles,2020-09-11 00:00:00+00:00,France,813949
Autos & Vehicles,2020-09-11 00:00:00+00:00,Germany,1578881
Autos & Vehicles,2020-09-11 00:00:00+00:00,India,721630
Autos & Vehicles,2020-09-11 00:00:00+00:00,Japan,1406462
Autos & Vehicles,2020-09-11 00:00:00+00:00,Mexico,796012
Autos & Vehicles,2020-09-11 00:00:00+00:00,Russia,3112142
Autos & Vehicles,2020-09-11 00:00:00+00:00,South Korea,594765
Autos & Vehicles,2020-09-11 00:00:00+00:00,United Kingdom,1488573
Autos & Vehicles,2020-09-11 00:00:00+00:00,United States,1721990
Autos & Vehicles,2020-09-12 00:00:00+00:00,Brazil,561134
Autos & Vehicles,2020-09-12 00:00:00+00:00,Canada,2132338
Autos & Vehicles,2020-09-12 00:00:00+00:00,France,734005
Autos & Vehicles,2020-09-12 00:00:00+00:00,Germany,1906962
Autos & Vehicles,2020-09-12 00:00:00+00:00,India,809581
Autos & Vehicles,2020-09-12 00:00:00+00:00,Japan,1776974
Autos & Vehicles,2020-09-12 00:00:00+00:00,Mexico,946045
Autos & Vehicles,2020-09-12 00:00:00+00:00,Russia,2004296
Autos & Vehicles,2020-09-12 00:00:00+00:00,South Korea,702639
Autos & Vehicles,2020-09-12 00:00:00+00:00,United Kingdom,2226647
Autos & Vehicles,2020-09-12 00:00:00+00:00,United States,2614023
Autos & Vehicles,2020-09-13 00:00:00+00:00,Brazil,595630
Autos & Vehicles,2020-09-13 00:00:00+00:00,Canada,2389146
Autos & Vehicles,2020-09-13 00:00:00+00:00,France,789036
Autos & Vehicles,2020-09-13 00:00:00+00:00,Germany,2090519
Autos & Vehicles,2020-09-13 00:00:00+00:00,India,1093362
Autos & Vehicles,2020-09-13 00:00:00+00:00,Japan,2181097
Autos & Vehicles,2020-09-13 00:00:00+00:00,Mexico,1035082
Autos & Vehicles,2020-09-13 00:00:00+00:00,Russia,3553002
Autos & Vehicles,2020-09-13 00:00:00+00:00,South Korea,767603
Autos & Vehicles,2020-09-13 00:00:00+00:00,United Kingdom,1152733
Autos & Vehicles,2020-09-13 00:00:00+00:00,United States,2464963
Autos & Vehicles,2020-09-14 00:00:00+00:00,Brazil,618103
Autos & Vehicles,2020-09-14 00:00:00+00:00,Canada,1913696
Autos & Vehicles,2020-09-14 00:00:00+00:00,France,961078
Autos & Vehicles,2020-09-14 00:00:00+00:00,Germany,1808084
Autos & Vehicles,2020-09-14 00:00:00+00:00,India,1235482
Autos & Vehicles,2020-09-14 00:00:00+00:00,Japan,2250579
Autos & Vehicles,2020-09-14 00:00:00+00:00,Mexico,1089623
Autos & Vehicles,2020-09-14 00:00:00+00:00,Russia,5396691
Autos & Vehicles,2020-09-14 00:00:00+00:00,South Korea,481929
Autos & Vehicles,2020-09-14 00:00:00+00:00,United Kingdom,1261583
Autos & Vehicles,2020-09-14 00:00:00+00:00,United States,1792261
Autos & Vehicles,2020-09-15 00:00:00+00:00,Brazil,480629
Autos & Vehicles,2020-09-15 00:00:00+00:00,Canada,2007173
Autos & Vehicles,2020-09-15 00:00:00+00:00,France,832632
Autos & Vehicles,2020-09-15 00:00:00+00:00,Germany,1779661
Autos & Vehicles,2020-09-15 00:00:00+00:00,India,1200096
Autos & Vehicles,2020-09-15 00:00:00+00:00,Japan,2588617
Autos & Vehicles,2020-09-15 00:00:00+00:00,Mexico,1294501
Autos & Vehicles,2020-09-15 00:00:00+00:00,Russia,6319822
Autos & Vehicles,2020-09-15 00:00:00+00:00,South Korea,839378
Autos & Vehicles,2020-09-15 00:00:00+00:00,United Kingdom,921688
Autos & Vehicles,2020-09-15 00:00:00+00:00,United States,2156619
Autos & Vehicles,2020-09-16 00:00:00+00:00,Brazil,290190
Autos & Vehicles,2020-09-16 00:00:00+00:00,Canada,1938761
Autos & Vehicles,2020-09-16 00:00:00+00:00,France,961600
Autos & Vehicles,2020-09-16 00:00:00+00:00,Germany,1939677
Autos & Vehicles,2020-09-16 00:00:00+00:00,India,1050666
Autos & Vehicles,2020-09-16 00:00:00+00:00,Japan,2616472
Autos & Vehicles,2020-09-16 00:00:00+00:00,Mexico,1325919
Autos & Vehicles,2020-09-16 00:00:00+00:00,Russia,7320388
Autos & Vehicles,2020-09-16 00:00:00+00:00,South Korea,2335682
Autos & Vehicles,2020-09-16 00:00:00+00:00,United Kingdom,671480
Autos & Vehicles,2020-09-16 00:00:00+00:00,United States,1587313
Autos & Vehicles,2020-09-17 00:00:00+00:00,Brazil,314109
Autos & Vehicles,2020-09-17 00:00:00+00:00,Canada,2541381
Autos & Vehicles,2020-09-17 00:00:00+00:00,France,647293
Autos & Vehicles,2020-09-17 00:00:00+00:00,Germany,2691007
Autos & Vehicles,2020-09-17 00:00:00+00:00,India,290567
Autos & Vehicles,2020-09-17 00:00:00+00:00,Japan,3225730
Autos & Vehicles,2020-09-17 00:00:00+00:00,Mexico,197348
Autos & Vehicles,2020-09-17 00:00:00+00:00,Russia,3239762
Autos & Vehicles,2020-09-17 00:00:00+00:00,South Korea,2534954
Autos & Vehicles,2020-09-17 00:00:00+00:00,United Kingdom,520887
Autos & Vehicles,2020-09-17 00:00:00+00:00,United States,1166831
Autos & Vehicles,2020-09-18 00:00:00+00:00,Brazil,333513
Autos & Vehicles,2020-09-18 00:00:00+00:00,Canada,2748923
Autos & Vehicles,2020-09-18 00:00:00+00:00,France,1159478
Autos & Vehicles,2020-09-18 00:00:00+00:00,Germany,2657765
Autos & Vehicles,2020-09-18 00:00:00+00:00,India,309515
Autos & Vehicles,2020-09-18 00:00:00+00:00,Japan,3263824
Autos & Vehicles,2020-09-18 00:00:00+00:00,Mexico,210115
Autos & Vehicles,2020-09-18 00:00:00+00:00,Russia,1996958
Autos & Vehicles,2020-09-18 00:00:00+00:00,South Korea,2212504
