categoryName,trending_date,country,count,view_count
Autos & Vehicles,2020-09-05 00:00:00+00:00,South Korea,2,1953934
Autos & Vehicles,2020-09-05 00:00:00+00:00,United Kingdom,5,13944759
Autos & Vehicles,2020-09-05 00:00:00+00:00,United States,5,15266755
Autos & Vehicles,2020-09-06 00:00:00+00:00,Brazil,2,11264708
Autos & Vehicles,2020-09-06 00:00:00+00:00,Canada,6,17393287
Autos & Vehicles,2020-09-06 00:00:00+00:00,France,7,11606361
Autos & Vehicles,2020-09-06 00:00:00+00:00,Germany,22,16872001
Autos & Vehicles,2020-09-06 00:00:00+00:00,India,2,421899
Autos & Vehicles,2020-09-06 00:00:00+00:00,Japan,5,13050463
Autos & Vehicles,2020-09-06 00:00:00+00:00,Mexico,2,11817416
Autos & Vehicles,2020-09-06 00:00:00+00:00,Russia,8,6061922
Autos & Vehicles,2020-09-06 00:00:00+00:00,South Korea,1,750861
Autos & Vehicles,2020-09-06 00:00:00+00:00,United Kingdom,7,16548776
Autos & Vehicles,2020-09-06 00:00:00+00:00,United States,6,17393287
Autos & Vehicles,2020-09-07 00:00:00+00:00,Brazil,3,12789010
Autos & Vehicles,2020-09-07 00:00:00+00:00,Canada,6,17912653
Autos & Vehicles,2020-09-07 00:00:00+00:00,France,5,363821
Autos & Vehicles,2020-09-07 00:00:00+00:00,Germany,16,4073616
Autos & Vehicles,2020-09-07 00:00:00+00:00,India,2,561922
Autos & Vehicles,2020-09-07 00:00:00+00:00,Japan,4,14007463
Autos & Vehicles,2020-09-07 00:00:00+00:00,Mexico,2,13265572
Autos & Vehicles,2020-09-07 00:00:00+00:00,Russia,11,2268777
Autos & Vehicles,2020-09-07 00:00:00+00:00,South Korea,1,767775
Autos & Vehicles,2020-09-07 00:00:00+00:00,United Kingdom,6,18039939
Autos & Vehicles,2020-09-07 00:00:00+00:00,United States,6,17912653
Autos & Vehicles,2020-09-08 00:00:00+00:00,Brazil,3,375927
Autos & Vehicles,2020-09-08 00:00:00+00:00,Canada,5,4636777
Autos & Vehicles,2020-09-08 00:00:00+00:00,France,5,342050
Autos & Vehicles,2020-09-08 00:00:00+00:00,Germany,13,1780914
Autos & Vehicles,2020-09-08 00:00:00+00:00,India,1,365261
Autos & Vehicles,2020-09-08 00:00:00+00:00,Japan,5,15491135
Autos & Vehicles,2020-09-08 00:00:00+00:00,Mexico,2,14577647
Autos & Vehicles,2020-09-08 00:00:00+00:00,Russia,13,5865030
Autos & Vehicles,2020-09-08 00:00:00+00:00,United Kingdom,6,4931919
Autos & Vehicles,2020-09-08 00:00:00+00:00,United States,6,18516278
Autos & Vehicles,2020-09-09 00:00:00+00:00,Brazil,5,673390
Autos & Vehicles,2020-09-09 00:00:00+00:00,Canada,2,1015568
Autos & Vehicles,2020-09-09 00:00:00+00:00,France,5,521143
Autos & Vehicles,2020-09-09 00:00:00+00:00,Germany,10,1360898
Autos & Vehicles,2020-09-09 00:00:00+00:00,India,1,435402
Autos & Vehicles,2020-09-09 00:00:00+00:00,Japan,4,16700551
Autos & Vehicles,2020-09-09 00:00:00+00:00,Mexico,1,714092
Autos & Vehicles,2020-09-09 00:00:00+00:00,Russia,12,8354770
Autos & Vehicles,2020-09-09 00:00:00+00:00,United Kingdom,3,2548607
Autos & Vehicles,2020-09-09 00:00:00+00:00,United States,5,5320318
Autos & Vehicles,2020-09-10 00:00:00+00:00,Brazil,5,814186
Autos & Vehicles,2020-09-10 00:00:00+00:00,Canada,2,1154768
Autos & Vehicles,2020-09-10 00:00:00+00:00,France,6,620912
Autos & Vehicles,2020-09-10 00:00:00+00:00,Germany,12,1824964
Autos & Vehicles,2020-09-10 00:00:00+00:00,India,1,478994
Autos & Vehicles,2020-09-10 00:00:00+00:00,Japan,4,17261823
Autos & Vehicles,2020-09-10 00:00:00+00:00,Mexico,1,723708
Autos & Vehicles,2020-09-10 00:00:00+00:00,Russia,9,4854769
Autos & Vehicles,2020-09-10 00:00:00+00:00,South Korea,3,407966
Autos & Vehicles,2020-09-10 00:00:00+00:00,United Kingdom,3,1243134
Autos & Vehicles,2020-09-10 00:00:00+00:00,United States,4,1430902
Autos & Vehicles,2020-09-11 00:00:00+00:00,Brazil,4,638378
Autos & Vehicles,2020-09-11 00:00:00+00:00,Canada,3,1538704
Autos & Vehicles,2020-09-11 00:00:00+00:00,France,7,813949
Autos & Vehicles,2020-09-11 00:00:00+00:00,Germany,7,1578881
Autos & Vehicles,2020-09-11 00:00:00+00:00,India,2,721630
Autos & Vehicles,2020-09-11 00:00:00+00:00,Japan,6,1406462
Autos & Vehicles,2020-09-11 00:00:00+00:00,Mexico,1,796012
Autos & Vehicles,2020-09-11 00:00:00+00:00,Russia,9,3112142
Autos & Vehicles,2020-09-11 00:00:00+00:00,South Korea,3,594765
Autos & Vehicles,2020-09-11 00:00:00+00:00,United Kingdom,3,1488573
Autos & Vehicles,2020-09-11 00:00:00+00:00,United States,4,1721990
Autos & Vehicles,2020-09-12 00:00:00+00:00,Brazil,3,561134
Autos & Vehicles,2020-09-12 00:00:00+00:00,Canada,5,2132338
Autos & Vehicles,2020-09-12 00:00:00+00:00,France,6,734005
Autos & Vehicles,2020-09-12 00:00:00+00:00,Germany,8,1906962
Autos & Vehicles,2020-09-12 00:00:00+00:00,India,3,809581
Autos & Vehicles,2020-09-12 00:00:00+00:00,Japan,5,1776974
Autos & Vehicles,2020-09-12 00:00:00+00:00,Mexico,1,946045
Autos & Vehicles,2020-09-12 00:00:00+00:00,Russia,7,2004296
Autos & Vehicles,2020-09-12 00:00:00+00:00,South Korea,3,702639
Autos & Vehicles,2020-09-12 00:00:00+00:00,United Kingdom,6,2226647
Autos & Vehicles,2020-09-12 00:00:00+00:00,United States,6,2614023
Autos & Vehicles,2020-09-13 00:00:00+00:00,Brazil,3,595630
Autos & Vehicles,2020-09-13 00:00:00+00:00,Canada,5,2389146
Autos & Vehicles,2020-09-13 00:00:00+00:00,France,6,789036
Autos & Vehicles,2020-09-13 00:00:00+00:00,Germany,7,2090519
Autos & Vehicles,2020-09-13 00:00:00+00:00,India,3,1093362
Autos & Vehicles,2020-09-13 00:00:00+00:00,Japan,7,2181097
Autos & Vehicles,2020-09-13 00:00:00+00:00,Mexico,1,1035082
Autos & Vehicles,2020-09-13 00:00:00+00:00,Russia,15,3553002
Autos & Vehicles,2020-09-13 00:00:00+00:00,South Korea,3,767603
Autos & Vehicles,2020-09-13 00:00:00+00:00,United Kingdom,4,1152733
Autos & Vehicles,2020-09-13 00:00:00+00:00,United States,5,2464963
Autos & Vehicles,2020-09-14 00:00:00+00:00,Brazil,3,618103
Autos & Vehicles,2020-09-14 00:00:00+00:00,Canada,5,1913696
Autos & Vehicles,2020-09-14 00:00:00+00:00,France,7,961078
Autos & Vehicles,2020-09-14 00:00:00+00:00,Germany,5,1808084
Autos & Vehicles,2020-09-14 00:00:00+00:00,India,3,1235482
Autos & Vehicles,2020-09-14 00:00:00+00:00,Japan,7,2250579
Autos & Vehicles,2020-09-14 00:00:00+00:00,Mexico,1,1089623
Autos & Vehicles,2020-09-14 00:00:00+00:00,Russia,18,5396691
Autos & Vehicles,2020-09-14 00:00:00+00:00,South Korea,2,481929
Autos & Vehicles,2020-09-14 00:00:00+00:00,United Kingdom,4,1261583
Autos & Vehicles,2020-09-14 00:00:00+00:00,United States,4,1792261
Autos & Vehicles,2020-09-15 00:00:00+00:00,Brazil,3,480629
Autos & Vehicles,2020-09-15 00:00:00+00:00,Canada,4,2007173
Autos & Vehicles,2020-09-15 00:00:00+00:00,France,4,832632
Autos & Vehicles,2020-09-15 00:00:00+00:00,Germany,7,1779661
Autos & Vehicles,2020-09-15 00:00:00+00:00,India,3,1200096
Autos & Vehicles,2020-09-15 00:00:00+00:00,Japan,8,2588617
Autos & Vehicles,2020-09-15 00:00:00+00:00,Mexico,2,1294501
Autos & Vehicles,2020-09-15 00:00:00+00:00,Russia,17,6319822
Autos & Vehicles,2020-09-15 00:00:00+00:00,South Korea,4,839378
Autos & Vehicles,2020-09-15 00:00:00+00:00,United Kingdom,3,921688
Autos & Vehicles,2020-09-15 00:00:00+00:00,United States,4,2156619
Autos & Vehicles,2020-09-16 00:00:00+00:00,Brazil,2,290190
Autos & Vehicles,2020-09-16 00:00:00+00:00,Canada,5,1938761
Autos & Vehicles,2020-09-16 00:00:00+00:00,France,5,961600
Autos & Vehicles,2020-09-16 00:00:00+00:00,Germany,8,1939677
Autos & Vehicles,2020-09-16 00:00:00+00:00,India,2,1050666
Autos & Vehicles,2020-09-16 00:00:00+00:00,Japan,7,2616472
Autos & Vehicles,2020-09-16 00:00:00+00:00,Mexico,2,1325919
Autos & Vehicles,2020-09-16 00:00:00+00:00,Russia,16,7320388
Autos & Vehicles,2020-09-16 00:00:00+00:00,South Korea,7,2335682
