categoryName,view_count,likes,dislikes,comment_count
Sports,317046,16519,256,959
Entertainment,261545,4464,73,0
Entertainment,96673,2301,31,192
Sports,84792,2307,132,1218
Film & Animation,120334,488,80,16
Comedy,305790,33931,492,2216
Science & Technology,78309,961,36,396
Music,259506,9368,510,593
Autos & Vehicles,95143,12263,164,928
Comedy,213718,15178,318,535
Entertainment,38503,452,38,63
Gaming,2717614,85105,2273,4377
Comedy,1232082,52042,6455,5442
Music,618596,7424,276,71
Music,70688,7980,356,326
Autos & Vehicles,408666,4549,206,502
Entertainment,1252267,28460,552,835
Music,1774938,85626,228,6648
Science & Technology,262455,19502,478,1454
Sports,629398,14048,212,1804
Comedy,439068,7485,310,229
Entertainment,310761,33210,807,1072
Music,430691,25634,389,961
Film & Animation,169699,1132,180,80
Sports,24075,3028,36,212
Music,2503426,185628,55229,40427
Music,1259259,105855,943,7095
Music,1109424,96342,5124,6326
Entertainment,80465,9385,123,793
Sports,897300,59200,995,1866
Sports,351290,3844,196,692
Gaming,1753340,189452,7295,5657
Comedy,307815,3872,280,151
Autos & Vehicles,88651,7538,106,1094
Music,42384,2858,127,198
Entertainment,150512,22018,127,562
News & Politics,513543,4135,233,574
Music,34596,3605,13,108
Entertainment,3188992,184119,9445,44946
Sports,451859,6253,273,1052
Entertainment,3138375,280753,2810,13072
People & Blogs,563989,78695,470,1907
Sports,528315,5210,118,1198
People & Blogs,50014,3677,217,286
People & Blogs,539333,77680,1365,5295
Music,1359486,136799,382,38208
Howto & Style,126780,11409,75,971
Sports,910636,15273,188,1322
Comedy,755450,15228,734,1276
Sports,372462,6195,204,641
People & Blogs,34524,3571,14,111
Sports,341441,6681,101,930
Gaming,81893,5128,81,385
Science & Technology,4458696,64951,1024,748
Music,156784,1009,53,557
Entertainment,80925,1463,60,60
Comedy,599663,55087,847,2352
News & Politics,2823752,40984,1353,7292
Comedy,3117790,245506,8247,8390
Entertainment,112113,11963,166,160
Comedy,2833032,95252,6294,7268
Entertainment,1938619,37587,1345,2899
Entertainment,296808,28957,303,1081
People & Blogs,371971,8032,252,3739
Comedy,395038,35120,442,3019
Comedy,1947276,142796,2574,12172
Music,1069527,91291,2134,4313
Gaming,104428,13713,133,576
Sports,126596,3069,60,391
Entertainment,905433,53216,879,2764
Entertainment,7007807,140922,560,10522
Howto & Style,92688,3496,114,221
Music,1282179,144602,642,7157
Gaming,228159,27693,603,3656
Music,73193,5473,61,196
Entertainment,2743937,44550,1133,1835
Entertainment,23439,1943,29,15
Music,570172,52886,542,3005
Howto & Style,139640,1270,296,83
Comedy,104799,6537,7732,1193
Sports,117864,1876,124,393
Music,178548,6239,127,189
Autos & Vehicles,545519,12046,360,957
Entertainment,251632,19494,78,443
Entertainment,3520925,31140,1847,4552
Science & Technology,6285649,234464,6534,18691
Howto & Style,94686,13852,85,350
Sports,300857,3766,71,633
People & Blogs,660650,90554,638,1515
Entertainment,4613805,67894,1756,10982
Entertainment,787092,8460,972,3706
Entertainment,722570,15309,412,1397
News & Politics,290078,9454,336,1073
Music,287417,10225,198,516
Music,246942,14378,243,930
Gaming,211100,3534,67,912
Entertainment,392378,9819,267,2771
Entertainment,943797,55126,2464,2287
Sports,55111,2330,16,284
People & Blogs,1066447,15690,358,1361
Entertainment,427825,3384,272,623
News & Politics,263669,2504,162,756
Music,42473,352,57,40
News & Politics,42358,2650,58,253
Sports,903121,14356,393,2933
Entertainment,158767,3022,95,1023
Sports,112339,10823,210,55
Film & Animation,289949,3487,260,691
Gaming,28814,7394,122,658
Entertainment,699612,23852,438,874
Science & Technology,88013,259,189,16
Comedy,646020,7282,140,1622
News & Politics,288288,7549,160,1359
Sports,115783,3225,154,864
Entertainment,147064,14007,239,2378
People & Blogs,90604,4214,164,87
People & Blogs,145294,11732,183,1471
People & Blogs,5780921,281686,2921,22745
News & Politics,2425164,13304,894,0
Music,16003669,761678,17646,47733
People & Blogs,390878,34830,1037,2511
Music,51349,1951,40,206
Entertainment,1211801,68321,1311,1477
Entertainment,37195,2550,29,217
News & Politics,59575,0,0,0
Music,168390,6900,88,374
Entertainment,31801966,2097383,35643,201628
Comedy,115987,6976,88,213
People & Blogs,816374,78889,2094,3299
Sports,3187219,34444,1047,2977
Autos & Vehicles,165817,1522,64,35
Entertainment,872381,44104,322,2160
People & Blogs,25761,1919,63,138
Film & Animation,321277,13476,141,0
Entertainment,1132874,16539,1683,3427
People & Blogs,279422,6512,117,1140
People & Blogs,43649,882,31,181
Entertainment,67523,11115,187,606
Comedy,138768,17227,385,2135
Entertainment,288950,20637,135,430
Entertainment,574371,4431,200,606
Sports,1007788,27913,316,1709
Entertainment,394288,14633,383,859
Gaming,252339,13202,595,0
News & Politics,535174,1948,127,655
Pets & Animals,224484,8177,57,679
Entertainment,350017,10651,1081,772
Entertainment,260935,4512,119,807
Entertainment,2659268,25377,975,1144
Sports,301710,11756,155,1082
Autos & Vehicles,422869,12821,376,5428
Music,1721891,75394,1637,6844
People & Blogs,256088,38139,184,1756
Entertainment,865590,0,0,2227
People & Blogs,120812,3174,80,143
Sports,152692,13882,176,1179
Comedy,471582,16298,200,425
People & Blogs,811479,96920,1075,2551
Music,168647,8192,391,325
People & Blogs,32466,4940,149,184
Film & Animation,218748,2148,219,320
Music,82321,1460,47,43
Entertainment,304901,8841,183,500
Autos & Vehicles,41544,1187,67,97
People & Blogs,148200,1791,47,288
Entertainment,148955,5818,309,232
Sports,864110,30586,804,1671
Entertainment,556599,31751,610,1519
Entertainment,259956,2638,493,2263
Entertainment,1320649,14710,819,3466
People & Blogs,1435293,173751,549,9420
Music,49243,239,20,0
Sports,611947,9706,425,1763
Entertainment,1383493,30580,793,1969
Entertainment,223731,12950,79,885
Entertainment,5076718,322447,4343,17260
Entertainment,676593,8130,276,1137
Film & Animation,448493,3265,4374,837
Autos & Vehicles,174817,9974,412,432
Sports,377232,7749,105,587
Music,534397,10779,255,10
News & Politics,429562,2659,119,151
Entertainment,1201120,28007,2028,1640
People & Blogs,623801,62930,1392,2956
Howto & Style,2555046,71799,1103,7384
Education,102916,7437,239,789
Science & Technology,335773,33140,1008,3891
Sports,210143,20482,402,1082
Entertainment,1088045,22431,725,976
Music,2944552,49102,1911,4761
Entertainment,775244,0,0,16663
Sports,542746,14648,279,940
Gaming,99016,2466,31,335
Entertainment,1085765,20459,1076,718
Entertainment,209886,1280,118,20
Comedy,584966,14909,275,1719
Music,554391,29126,500,1323
Entertainment,135382,4328,160,461
People & Blogs,57801,744,19,18
Music,261673,29125,399,1154
Entertainment,127884,13329,255,610
Entertainment,531905,21147,728,893
People & Blogs,2282907,128109,811,4132
Entertainment,950001,45333,1644,0
Comedy,450525,9370,198,919
People & Blogs,89935,10437,522,687
People & Blogs,139463,3396,93,784
Entertainment,256994,6874,63,549
Entertainment,883084,71530,1151,7875
Entertainment,72296,5904,38,468
Music,3105647,34919,457,1160
Entertainment,316950,8662,88,197
,37104,3091,306,577
Entertainment,253439,3095,122,847
People & Blogs,318488,15747,741,1910
Music,1183968,43372,519,1080
Entertainment,653879,48997,1700,1713
Music,3623491,124032,6938,7881
News & Politics,8892204,386477,10200,6417
Science & Technology,194228,3542,92,304
Entertainment,156088,6727,1223,869
Entertainment,283450,6457,417,985
Gaming,514975,48883,726,798
People & Blogs,64642,7248,39,1198
People & Blogs,102952,3080,57,0
Entertainment,10886139,1158303,26118,72573
Comedy,373228,3484,134,493
Music,156269,4941,35,967
People & Blogs,2002261,140560,709,3868
People & Blogs,1134759,87936,475,5887
Music,714768,20620,601,1505
People & Blogs,4378366,558799,5420,17345
Gaming,478155,9608,395,0
Science & Technology,289516,43238,265,3256
Comedy,126164,3741,174,436
Entertainment,329437,17194,91,1791
Comedy,513940,37343,556,1983
Howto & Style,129355,6200,187,282
Entertainment,3096333,282118,3831,19040
Sports,106299,18506,75,305
Gaming,142581,16874,262,1359
,935213,4722,788,2887
News & Politics,273581,20747,232,1020
Music,221807,6155,139,2119
News & Politics,57235,4198,76,526
Comedy,94367,12510,112,1447
Entertainment,1494217,120355,1212,4286
Autos & Vehicles,268770,3507,123,482
Music,72259,9155,154,917
Pets & Animals,677751,15519,335,994
Entertainment,2486474,62659,2274,1826
People & Blogs,1168742,23850,642,2599
Music,142287,24441,131,2184
Comedy,126320,10178,217,374
Howto & Style,66366,7426,217,561
Music,6414967,218190,3451,12744
Sports,2414043,31431,1590,4978
Music,293294,31304,326,2184
Autos & Vehicles,189030,1977,124,586
Entertainment,1199541,101866,1332,5727
Sports,60795,5804,54,318
Comedy,406561,26439,491,1146
News & Politics,153273,883,204,222
Music,4876101,326305,4412,66754
Music,663507,21521,496,1430
Music,426471,57875,284,6965
Howto & Style,292184,8207,414,419
Howto & Style,1149379,8760,1439,0
Sports,59187,2330,18,414
Film & Animation,776290,112956,1254,6659
Sports,589491,11247,329,2410
Music,1545943,63340,848,1861
Howto & Style,2200166,61916,881,8877
Howto & Style,432802,25419,293,2513
Film & Animation,334157,11893,237,227
Music,794095,46534,1040,3176
Sports,1062298,35095,1414,6458
People & Blogs,70603,8669,66,582
Science & Technology,1412165,67549,624,2563
Entertainment,170748,6282,271,359
Music,11058304,2658395,7113,88065
People & Blogs,84956,2881,209,1180
Entertainment,951120,14388,674,1590
Entertainment,200875,1565,22,0
Sports,93108,1051,53,347
Sports,51141,3826,160,773
Comedy,789027,38623,2113,1761
Sports,558887,23182,504,47
Film & Animation,67530,1076,78,160
People & Blogs,25766052,794836,34223,79421
Sports,234171,2769,85,181
Science & Technology,1757619,156758,3777,11550
Sports,216483,5225,103,732
Sports,1111007,20031,836,7863
Music,110081,4057,528,206
People & Blogs,692269,67931,1535,9290
People & Blogs,55873,2132,74,0
Music,4369438,155711,6144,6235
News & Politics,693106,32291,839,743
Music,23430,875,27,26
Autos & Vehicles,405358,9877,908,3927
Music,1013015,0,0,5557
Entertainment,404950,27417,557,1862
People & Blogs,179845,8346,409,903
People & Blogs,27110,1015,72,103
Comedy,4733803,41002,10956,2837
Entertainment,376869,4457,1529,1867
Entertainment,64179,6930,189,522
Sports,89460,15135,85,249
People & Blogs,98645,2029,55,40
Entertainment,323152,2335,323,290
Entertainment,4980081,203669,2344,8986
Sports,1490003,16826,3346,4094
Sports,773912,19608,316,1388
Sports,152333,17374,187,58
People & Blogs,122534,5213,24,593
Comedy,699957,12831,2509,1500
Entertainment,677794,28865,812,1084
Music,2671189,123740,1036,3398
Sports,614228,64610,726,2344
Travel & Events,329514,23500,767,1051
Sports,29422743,100490,4165,6203
Sports,51135,1891,85,278
People & Blogs,1553965,210253,6166,28655
Autos & Vehicles,124293,19080,251,2422
Entertainment,458772,34418,1470,1416
Comedy,4882602,384180,4831,33238
Sports,416616,5731,150,1485
Music,132770,3100,37,124
Entertainment,13606854,948016,34977,103259
Gaming,901400,99829,705,9340
Film & Animation,345885,77347,397,6782
Film & Animation,33323,3995,58,175
People & Blogs,316197,31206,841,1523
Comedy,452761,46333,1062,5840
Comedy,1215682,152339,1385,14815
Entertainment,256860,3093,218,446
Sports,582872,6309,197,1248
People & Blogs,65779,8458,209,670
News & Politics,130139,1998,57,517
Sports,66539,670,28,4
Gaming,318603,34746,400,18
Sports,52533,2422,39,264
Gaming,608544,79967,1498,12644
Gaming,1948047,49564,3432,4705
Entertainment,216539,9944,55,592
Entertainment,535067,55488,904,1172
Science & Technology,139775,2347,201,407
Music,93243,7192,205,464
Music,88038,4413,82,167
News & Politics,111416,8684,500,1335
Education,127641,14408,297,2133
Entertainment,86432,3755,77,151
Entertainment,1737060,56866,1990,3787
Travel & Events,685163,43403,974,4998
Comedy,498728,59532,1711,2469
Sports,86004,7268,48,272
News & Politics,932519,18471,2829,2839
Entertainment,25573,3073,40,24
Comedy,344126,11069,98,743
Entertainment,1563984,160790,2028,8059
Entertainment,92978,1258,129,163
Comedy,1214653,86506,750,1252
Music,590534,41348,420,1692
Sports,548104,4439,319,1293
Sports,3892033,60160,2312,2932
People & Blogs,196882,14688,568,901
Autos & Vehicles,1361840,164325,4107,6122
News & Politics,453707,6704,181,1895
Music,135070,8388,331,2699
Entertainment,506164,4893,137,58
Entertainment,266422,3250,302,2087
People & Blogs,226146,20613,902,3880
Autos & Vehicles,320468,17761,575,0
Music,81694,2125,24,218
Autos & Vehicles,25567,2134,32,363
Autos & Vehicles,455342,27957,951,10534
Sports,24667,2348,63,255
Entertainment,4176096,391908,1815,8898
Film & Animation,68544,1836,123,1042
Sports,61829,760,1515,946
Howto & Style,297876,2097,104,67
Autos & Vehicles,577158,12376,330,962
Music,807954,20042,1089,648
People & Blogs,142899,10307,94,838
News & Politics,271071,3579,163,639
News & Politics,1561241,51684,932,1592
People & Blogs,847112,34679,967,3115
Sports,2766747,33826,1627,1476
Comedy,226414,6121,663,1284
Gaming,97204,3721,82,457
Sports,231692,5178,211,336
People & Blogs,374202,10057,269,787
Entertainment,124268,13237,274,478
Entertainment,85084,4641,127,380
Entertainment,1127991,32802,219,878
Gaming,404255,7693,83,3519
People & Blogs,217064,10496,88,700
Entertainment,1007253,45234,561,1696
Science & Technology,2520987,79893,2734,7785
Entertainment,40984,6605,87,319
Entertainment,993250,13639,164,765
Entertainment,397399,40364,1020,1079
Howto & Style,98247,5839,246,530
Sports,815990,3907,213,473
Howto & Style,580898,43699,604,1556
Entertainment,237617,12131,544,1122
People & Blogs,86982,2836,62,455
People & Blogs,296136,32394,552,2170
Entertainment,242347,2141,584,0
News & Politics,335636,2108,451,579
Entertainment,507817,41354,366,4336
People & Blogs,384350,40108,124,4389
Comedy,370419,63361,376,1717
Music,112346,4844,101,299
Sports,146651,2339,85,211
Entertainment,765683,27018,438,2772
Education,278489,27724,205,1052
Pets & Animals,656842,0,0,316
Gaming,303886,4141,142,21
Entertainment,284545,1879,189,66
Howto & Style,481394,4561,690,334
People & Blogs,53099,3595,249,280
Music,188736,1314,154,58
Sports,747768,24218,532,991
Sports,614036,11078,319,1259
Sports,194592,10359,245,1003
Entertainment,117331,17382,353,516
