categoryName,trending_date,country,count
Autos & Vehicles,2020-08-30 00:00:00+00:00,Japan,4
Autos & Vehicles,2020-08-30 00:00:00+00:00,Mexico,2
Autos & Vehicles,2020-08-30 00:00:00+00:00,Russia,12
Autos & Vehicles,2020-08-30 00:00:00+00:00,United Kingdom,6
Autos & Vehicles,2020-08-30 00:00:00+00:00,United States,1
Autos & Vehicles,2020-08-31 00:00:00+00:00,Brazil,1
Autos & Vehicles,2020-08-31 00:00:00+00:00,Canada,1
Autos & Vehicles,2020-08-31 00:00:00+00:00,France,4
Autos & Vehicles,2020-08-31 00:00:00+00:00,Germany,6
Autos & Vehicles,2020-08-31 00:00:00+00:00,India,1
Autos & Vehicles,2020-08-31 00:00:00+00:00,Japan,5
Autos & Vehicles,2020-08-31 00:00:00+00:00,Mexico,2
Autos & Vehicles,2020-08-31 00:00:00+00:00,Russia,15
Autos & Vehicles,2020-08-31 00:00:00+00:00,South Korea,1
Autos & Vehicles,2020-08-31 00:00:00+00:00,United Kingdom,6
Autos & Vehicles,2020-08-31 00:00:00+00:00,United States,1
Autos & Vehicles,2020-09-01 00:00:00+00:00,Brazil,1
Autos & Vehicles,2020-09-01 00:00:00+00:00,Canada,2
Autos & Vehicles,2020-09-01 00:00:00+00:00,France,5
Autos & Vehicles,2020-09-01 00:00:00+00:00,Germany,7
Autos & Vehicles,2020-09-01 00:00:00+00:00,India,1
Autos & Vehicles,2020-09-01 00:00:00+00:00,Japan,4
Autos & Vehicles,2020-09-01 00:00:00+00:00,Mexico,2
Autos & Vehicles,2020-09-01 00:00:00+00:00,Russia,14
Autos & Vehicles,2020-09-01 00:00:00+00:00,South Korea,2
Autos & Vehicles,2020-09-01 00:00:00+00:00,United Kingdom,2
Autos & Vehicles,2020-09-01 00:00:00+00:00,United States,2
Autos & Vehicles,2020-09-02 00:00:00+00:00,Brazil,2
Autos & Vehicles,2020-09-02 00:00:00+00:00,Canada,3
Autos & Vehicles,2020-09-02 00:00:00+00:00,France,6
Autos & Vehicles,2020-09-02 00:00:00+00:00,Germany,11
Autos & Vehicles,2020-09-02 00:00:00+00:00,India,1
Autos & Vehicles,2020-09-02 00:00:00+00:00,Japan,6
Autos & Vehicles,2020-09-02 00:00:00+00:00,Mexico,3
Autos & Vehicles,2020-09-02 00:00:00+00:00,Russia,15
Autos & Vehicles,2020-09-02 00:00:00+00:00,South Korea,2
Autos & Vehicles,2020-09-02 00:00:00+00:00,United Kingdom,4
Autos & Vehicles,2020-09-02 00:00:00+00:00,United States,3
Autos & Vehicles,2020-09-03 00:00:00+00:00,Brazil,1
Autos & Vehicles,2020-09-03 00:00:00+00:00,Canada,2
Autos & Vehicles,2020-09-03 00:00:00+00:00,France,6
Autos & Vehicles,2020-09-03 00:00:00+00:00,Germany,17
Autos & Vehicles,2020-09-03 00:00:00+00:00,India,1
Autos & Vehicles,2020-09-03 00:00:00+00:00,Japan,5
Autos & Vehicles,2020-09-03 00:00:00+00:00,Mexico,3
Autos & Vehicles,2020-09-03 00:00:00+00:00,Russia,17
Autos & Vehicles,2020-09-03 00:00:00+00:00,South Korea,3
Autos & Vehicles,2020-09-03 00:00:00+00:00,United Kingdom,4
Autos & Vehicles,2020-09-03 00:00:00+00:00,United States,3
Autos & Vehicles,2020-09-04 00:00:00+00:00,Brazil,1
Autos & Vehicles,2020-09-04 00:00:00+00:00,Canada,4
Autos & Vehicles,2020-09-04 00:00:00+00:00,France,5
Autos & Vehicles,2020-09-04 00:00:00+00:00,Germany,18
Autos & Vehicles,2020-09-04 00:00:00+00:00,India,1
Autos & Vehicles,2020-09-04 00:00:00+00:00,Japan,4
Autos & Vehicles,2020-09-04 00:00:00+00:00,Mexico,2
Autos & Vehicles,2020-09-04 00:00:00+00:00,Russia,11
Autos & Vehicles,2020-09-04 00:00:00+00:00,South Korea,2
Autos & Vehicles,2020-09-04 00:00:00+00:00,United Kingdom,5
Autos & Vehicles,2020-09-04 00:00:00+00:00,United States,6
Autos & Vehicles,2020-09-05 00:00:00+00:00,Brazil,1
Autos & Vehicles,2020-09-05 00:00:00+00:00,Canada,5
Autos & Vehicles,2020-09-05 00:00:00+00:00,France,5
Autos & Vehicles,2020-09-05 00:00:00+00:00,Germany,24
