video_id,categoryName,view_count,likes,dislikes,comment_count
-Ao4tBAm4jI,News & Politics,288980,3634,454,1404
-ArPzXvfgqA,Sports,363097,11868,127,985
-AreU0P08HU,Music,717263,13442,476,351
-As4HocX9MU,Howto & Style,562380,23628,753,749
-AtijSMEqz8,People & Blogs,218217,17314,436,614
-AuJiwjsmWk,Entertainment,554231,14313,419,649
-AyBtLTOxXE,Comedy,601250,51750,324,449
-AzVNJvZtPE,Howto & Style,419726,4232,645,675
-B0o_Y0LZKY,Entertainment,114965,3997,65,513
-B1GdsWvoDE,Howto & Style,281500,19802,543,1309
-B2aSM3HmB8,People & Blogs,207318,3181,407,192
-B9pt_yG3gs,Film & Animation,786100,14624,491,2002
-BCwcr606g0,Entertainment,463507,54812,174,2342
-BDQmaMlb2g,Autos & Vehicles,1573523,107261,3188,5777
-BGq9_roUhY,Comedy,2467632,236733,1171,8781
-BOlvms8gVw,Gaming,1031309,114293,1729,4315
-BOpEuKcJ3Q,Entertainment,1190542,30597,766,484
-BSGU_I2isM,Comedy,630834,31809,616,1842
-BTIKkRl0IQ,,307507,23987,309,2965
-BVMAq99I6U,Music,126965,3816,16,56
-BWPv3YTptY,People & Blogs,163013,11201,121,960
-BZEJodQ2Bs,Entertainment,2156746,0,0,10305
-BbdikdO0zE,Film & Animation,77551,968,138,79
-BbmA0MR8uk,Gaming,35063,1400,83,588
-Bf_BB9iTNI,Music,5484279,0,0,29285
-Bh0HwT2rTU,Comedy,787048,35060,1528,4089
-BhhMVrl-cU,Entertainment,976203,3780,1148,202
-Blq89FqQX4,Comedy,216632,23922,329,837
-BmGsvOZUT0,People & Blogs,254767,18152,1703,1806
-BooUZQm-RA,People & Blogs,65476,4734,1002,531
-BpVH-urHWs,Entertainment,1914279,32029,1280,7382
-BrqVZeLr0Q,Music,259722,10399,82,685
-ByiaDusTVk,News & Politics,806917,43776,1013,2239
-C3LIx0_CBI,People & Blogs,28371,1554,144,40
-C4LzCDkRyw,Comedy,299685,30261,261,1511
-C4n5-Tg6LA,Entertainment,680016,21095,2845,1543
-C8SZZqvzPA,Entertainment,761653,4565,182,431
-CEjqATcPAg,Film & Animation,2983318,71940,770,8372
-CG7lmqwt0c,Music,1398333,56777,4774,3734
-CIuGjxex4U,Sports,2032210,19522,1262,1677
-CJWzSNNGJE,News & Politics,144665,2465,55,431
-CRjHBM9Qo8,Science & Technology,383976,9342,2706,1104
-CV_Ce4ODE0,Music,2468950,223432,2413,13400
-CVn3-3g_BI,Music,16387889,408726,10809,18749
-CWPIgK4G-k,Sports,492158,17238,328,1056
-CYtuSBGzWo,Sports,182124,3631,180,471
-CaSibtp0s4,Music,147376,4468,147,94
-Cd9ErIJK6I,Entertainment,352323,20610,522,771
-CiZ1j65R6M,Entertainment,1057034,18458,532,563
-CqsZjYPz2k,Sports,222219,13253,220,4626
-CrD1n1loXs,Music,1492292,256461,1084,6552
-CsRmoOEERs,Film & Animation,2180033,38838,1853,2794
-Cs_WMjsQno,Education,255702,3628,313,526
-CwB5CLCQIw,Entertainment,4992573,84702,8448,5449
-Cy9_VeGVK8,Entertainment,54717,4506,37,93
-D9s6hYxYrk,Entertainment,109353,6141,128,315
-DIGqrvc_l8,Comedy,395287,30344,1051,1577
-DQnjyTde8w,Music,1356723,157348,705,3791
-DlR-rgtkYg,Howto & Style,464734,20813,383,806
-DmusuLSBAY,People & Blogs,95938,980,66,97
-Dni-4sYQA0,Comedy,78499,6824,47,331
-Dp-Q0RCrRs,Howto & Style,77635,3006,26,287
-DrOiIrSdSg,Entertainment,2326124,39571,2620,5136
-DtAOFlsv4k,Film & Animation,1009855,24285,828,2306
-DvFZcC6v30,Sports,643317,11524,171,1486
-Dz-Jpc6Dcs,News & Politics,278336,6952,338,389
-DzK2TuwuXI,Entertainment,478845,5272,352,336
-E-G5znADp0,Howto & Style,274380,6358,293,1637
-E8haNkvKbU,People & Blogs,55801,13603,224,2880
-ECIZrYc-B4,Music,149097,11765,84,793
-EDT5vrJ9Vg,People & Blogs,92528,9072,132,839
-EHGY3CAG-4,Sports,97116,6473,59,1083
-EMB8zI-mYM,Entertainment,1514247,192304,1289,9307
-EM_BBcCjfI,Entertainment,170748,6282,271,359
-ENmsQEMIVE,Music,7903482,98323,7472,3825
-EQJf-Fsqy4,Entertainment,1896428,21432,2397,1578
-EWSX1caDV8,Sports,126952,3188,52,614
-EfxZxU-984,News & Politics,421914,4620,713,2162
-EgEshCFCAM,News & Politics,128982,962,96,371
-EhJtFNIPA8,Howto & Style,147452,7050,158,356
-En3A2-N9R8,Music,849184,26798,576,1284
-Eq_gLrUtv0,Science & Technology,90597,8946,337,991
-EvTj1E4fYk,Autos & Vehicles,258958,13899,534,8085
-ExMyQ3cej4,People & Blogs,76835,5992,29,361
-EyT1z8orAk,Music,786658,32758,354,613
-Ez3IIeOeEc,Film & Animation,322356,4435,171,477
-F-yIA_pwxI,Music,351513,73826,68,4748
-F1hkrIR-90,Sports,200121,17989,294,440
-F28Byn1bbU,Entertainment,1979671,25467,531,1588
-F8bliaVwEw,Film & Animation,441836,13954,44,1153
-FN756ewTZo,Entertainment,417945,24125,410,1440
-FNd6I9hB9I,News & Politics,288164,3571,833,1415
-FPbYnxVsgk,Sports,254840,7379,65,659
-FQLZ41dGak,Autos & Vehicles,511966,23310,354,1312
-FUQ6ZxTkM8,Education,1195223,98630,1514,4790
-FUsMsk9gP4,Music,1149014,189476,1101,223
-FV8y934Eqg,Entertainment,980760,6312,493,461
-FW-99Z9TH8,Entertainment,767028,22343,974,2388
-FakKwS_HgA,Film & Animation,79759,2162,114,253
-Fc9i8AJaek,Film & Animation,122495,1552,83,228
-FiByDXGoBI,Gaming,187405,2379,58,133
-FlaFkHiw7w,Sports,676460,35677,703,1372
-FntOx_7cFI,Film & Animation,111235,1230,79,213
-FtyTO8JILI,Entertainment,767665,18808,329,1540
-G15r96n3aY,Music,425668,47498,864,4154
-G1ya7Ce1IQ,Howto & Style,151554,12742,198,1180
-G2JTf60AdU,News & Politics,38145,2763,105,194
-G3mOwOAwT8,Music,6416166,105057,1566,5272
-G6VIFyb7qw,Entertainment,105041,5022,174,1496
-GBCKCL9lTk,Film & Animation,499125,44654,217,3173
-GEJ3Dsxync,Film & Animation,142667,2396,133,257
-GGnIMd2cpY,Science & Technology,2313086,224891,6793,15274
-GNfxD-sLg4,Sports,1591123,14532,549,3874
-GNrWUerDRc,People & Blogs,39356,533,81,157
-GQvCRnnwhc,People & Blogs,1050920,125866,2070,7335
-GSFWjFZZe8,News & Politics,473418,2218,464,662
-GTUHQBy5nM,Film & Animation,75156,933,53,71
-GYprw0gCJs,Entertainment,799954,9593,211,176
-GcpIfo8d7w,Sports,78580,365,16,49
-GibFg7rPUU,Sports,37328,1166,28,32
-Go64qacTsI,Gaming,269324,12123,1641,1427
-Gs3sXoxp3U,Entertainment,361447,28446,246,1495
-Gv2KxsJ6vw,Entertainment,1040936,122635,2409,5823
-H5zYRv_zko,Entertainment,67866,10414,35,727
-H6T2tTDwpk,Entertainment,1198762,29660,2471,1423
-H6gRGheqmQ,Music,1086224,47507,975,1364
-HBjQOifF5Y,Science & Technology,262455,19502,478,1454
-HHjiogriSQ,News & Politics,109721,1504,2932,0
-HKPerJclYM,Music,952899,94077,810,1447
-HV6rB3yWYo,Howto & Style,187200,20119,202,1421
-HbzYdkS6W0,Sports,639859,14261,202,1170
-I-whVtW50E,Gaming,192556,10291,363,1792
-I0MJH1rln4,People & Blogs,117003,11040,18,38
-I3zKNJEp64,Comedy,582880,52086,2241,1930
-I9Q_lJnEs4,Entertainment,1481561,9028,512,661
-IBMgFbhbZU,News & Politics,379648,41328,970,5076
-IEIDLre1HM,Film & Animation,175774,3973,392,488
-IEOVtaWibk,Comedy,2433470,250949,1864,6161
-IJX38jd1hU,Entertainment,562324,64908,656,3068
-IMm1fkLVyM,Entertainment,1205192,4919,216,1463
-IONRYbgVyc,Gaming,1616706,407086,2636,12707
-IZmrIMSR2U,Autos & Vehicles,33105,2975,25,490
-I_KXMeoCO8,Entertainment,615718,45817,357,1882
-Ik-w6z7wQs,Sports,331303,6032,165,724
-IkwwzVGUhA,People & Blogs,1346598,89743,1861,5062
-Io4aHizWvQ,Film & Animation,239861,0,0,342
-Iuqzt1H0pM,Howto & Style,3333444,187951,13190,4435
-IvKQIQ9Fyk,Entertainment,1022873,19894,474,2063
-IwITvJlWbo,Entertainment,412374,46676,1256,1294
-Iye2bHWIr4,Entertainment,150459,1893,47,157
-J34ERnfDbo,Music,108497,6682,98,370
-J4svhj8Ae0,People & Blogs,116060,2832,96,699
-J5dKNSvBnE,Entertainment,273622,5047,69,321
-J7IEohEVfQ,Science & Technology,146455,2583,201,114
-J84SOL3wo0,News & Politics,184953,4522,188,0
-JBdB3fugeU,Film & Animation,78475,4341,114,204
-JCEGRCNJds,Sports,107773,9232,144,92
-JE0qedkrFY,People & Blogs,611708,53763,4354,2506
-JHpeVfIKGo,Entertainment,2555460,80863,2626,4978
-JLG9Fov3hQ,Film & Animation,45793,264,59,34
-JY8NCys4aY,News & Politics,267994,10374,406,1067
-JYKuEaRKLA,Entertainment,1138592,16977,1078,3369
-JboAI9MeVk,Science & Technology,255845,28427,514,2703
-JgW8zWw1lE,Film & Animation,180790,8983,228,846
-Jh-_kBualo,People & Blogs,138961,14062,163,271
-JhqO2KWr5U,Entertainment,723486,76679,195,1266
-JjBnnujy0U,News & Politics,844403,113215,6657,11758
-Jloh_XjY0M,Music,227105,2553,64,61
-JmDQqaG8mY,Music,475769,0,0,4338
-JmsvQvdVJM,Entertainment,829363,7802,172,571
-JozvK7cM_0,Entertainment,1016680,49166,3519,1520
-Jr31JA91Ik,Entertainment,756763,18331,646,2186
-JvmKoChWUY,Comedy,889397,151001,2621,2775
-K0G7JXvXtU,Music,765903,77538,1301,4365
-K5cw-nSNrI,People & Blogs,707959,29564,523,2185
-K6E6U58zGE,People & Blogs,1184679,42463,1381,1018
-KEieAmkPEM,Film & Animation,374925,6640,365,1329
-KJjz8W4PPU,Entertainment,876064,125249,2590,60571
-KKoWm_z57Y,Comedy,202350,11935,86,315
-KNiSSW2v1A,People & Blogs,2052255,167362,844,14754
-KNxbqBdAIk,Autos & Vehicles,496913,18148,369,1521
-KRt9UmFzz8,Howto & Style,278584,6995,149,387
-KZFarNC4Fw,Music,430886,28675,1012,1342
-KbZoBN7OeY,Entertainment,1879113,11965,252,1581
-KhPJB0f3uM,Sports,456689,10146,493,2130
-Kln4lmExL0,People & Blogs,76359,1718,33,184
-KoEohz6s9g,Entertainment,1778094,132235,3982,7083
-KpvftyuR54,Education,196472,4337,160,126
-Kq-KxgSbxM,Music,926078,98751,845,8167
-KvuKErBbss,People & Blogs,980428,23680,556,1511
-KyvZVBB7sQ,Sports,1052854,31028,1733,3146
-L7mdHj76fw,Comedy,394058,49608,1084,32322
-LBjQHq81RA,Entertainment,371374,24580,880,960
-LBo2_sSQN8,People & Blogs,77019,2700,50,293
-LCu2KqIQj8,Entertainment,592025,5714,165,1278
-LDR4FEhiaA,Science & Technology,422801,21642,1024,3019
-LIlo12ROsM,Music,626931,98410,1648,13041
-LU1VgTXo_w,Sports,514144,85803,870,2028
-L_JoNZQQBU,Music,178011,12336,88,474
-LaES5kHWu4,Music,307277,16861,300,894
-LcGkKUxKug,Entertainment,51218,3544,37,0
-LhDtszbwd4,Entertainment,290553,4337,909,1805
-LnNISa-MIE,Sports,91358,4913,292,417
-LpY6rduhMs,Sports,1258984,10518,614,2661
-LqEiitt97Y,Music,49648,2685,100,169
-LthOOFwcKY,Travel & Events,669248,47295,763,6543
-LvVDevM-i0,News & Politics,186949,1198,338,292
-M37aHasm4Q,Film & Animation,163872,3120,122,271
-M3L_Kykl6w,Science & Technology,553711,30611,348,1857
-MBzbu_Xwd8,Entertainment,758476,13434,189,1643
-MDQlT6TaTM,Music,383887,24723,2623,2447
-MNn0DkfZVM,Entertainment,695656,38970,144,1662
-MUx9F-B93g,Music,292593,39977,669,17026
-MVj5-sX9Ac,Entertainment,1009914,9755,143,1388
-MZrgXR75Tk,Music,141270,3355,124,207
-MaB6Q3n-zk,Entertainment,57417,9279,35,687
-McMSPJfMK4,Music,730646,141384,575,47007
-Mfsnpl6kRU,Entertainment,144170,6174,172,839
-MhxKSmIXVo,Education,103672,12009,104,2052
-MqzY6GdKMo,Entertainment,229840,19758,474,1369
-MsqOIRqlaU,Entertainment,629796,20659,403,828
-MtDCb6O_ms,People & Blogs,190782,0,0,276
-MwlEO-VRiA,People & Blogs,1231165,96528,2690,5524
-MyvZMiRGvE,Music,15368214,962363,10327,94796
-N0x_Tt7WVc,Comedy,2470855,85656,1062,2972
-N2pSefcpqA,Entertainment,141306,8221,148,559
-N3INQiPHJc,Science & Technology,159854,27395,902,1417
-N6rEkjDtSw,Howto & Style,776723,12949,517,1371
-NJREFu0GTA,Science & Technology,3308360,133666,17406,8820
-NJsyBz8bGI,Music,7708075,1663173,4058,81697
-NP6kJkwbLc,Entertainment,553604,41882,485,1209
-NTdvycNBNg,Entertainment,132049,4740,90,565
-NVvlO6wSsM,News & Politics,132243,8443,149,1464
-NYp271jGck,Entertainment,1825077,35143,329,0
-NdmWS8yb6s,Sports,281631,5536,100,544
-NgavCodjZQ,Comedy,292729,30080,286,2243
-NhUbrMubUU,Entertainment,112308,6520,694,560
-NhosBGuRRc,Film & Animation,49074,1985,11,157
-Nir1uPim70,Music,2121676,38228,611,581
-NjgqOc96Qg,People & Blogs,619309,35716,1006,987
-NlyVOOArHY,People & Blogs,37790,2401,60,79
-NoPG8hS_ZQ,Film & Animation,195201,3590,228,810
-Ns8musU8uY,Entertainment,307870,14735,284,457
-NsXxIXq8WI,Comedy,165715,7487,259,610
-NzHA4aMYw8,Entertainment,798654,29166,2092,928
